id,zh,en
BANTER_MEET_START_1,怎么还没散会？,Is this meeting ever going to end?
BANTER_MEET_START_2,这PPT做得像上个世纪的。,This presentation looks like it's from the 90s.
BANTER_MEET_START_3,老板到底懂不懂啊...,Does the boss even know what they're talking about...
BANTER_MEET_START_4,好困，想喝奶茶。,"So sleepy, need bubble tea."
BANTER_MEET_END_1,我靠可他妈完事了！,"Finally, it's over!"
BANTER_MEET_END_2,别开了人都要傻了。,"No more meetings, I'm losing my mind."
BANTER_MEET_END_3,膀胱要炸了...,My bladder is about to explode...
BANTER_MEET_END_4,总算能回去摸鱼了。,Finally can go back to slacking off.
BANTER_CULTURE_1,又搞什么幺蛾子？,What kind of nonsense is this now?
BANTER_CULTURE_2,画大饼，绝对是画大饼。,"Empty promises, definitely empty promises."
BANTER_CULTURE_3,只要钱给够，啥都好说。,"As long as the pay is right, whatever."
BANTER_CULTURE_4,我的肝在隐隐作痛...,My liver is aching in anticipation...
BANTER_SSR_1,哇，空降大佬！,"Wow, an elite just dropped in!"
BANTER_SSR_2,来了个卷王，快跑！,"A try-hard is here, run!"
BANTER_SSR_3,希望他能带飞进度。,Hope they can carry the project.
BANTER_SSR_4,看着挺厉害，别是水货。,"Looks tough, hope they aren't a fraud."
BANTER_NEW_HIRE_01,太好了，试用期只有五个月零三十天,Great! The probation period is only five months and thirty days.
BANTER_NEW_HIRE_02,听说项目负责人是老板的熟人,I heard the project lead is a close acquaintance of the boss.
BANTER_NEW_HIRE_03,据说负责人很喜欢发消息抽打同事,Word has it that the lead loves spamming messages to whip colleagues into shape.
BANTER_NEW_HIRE_04,干一个月没被优化就是胜利,Lasting a month without getting "optimized" is already a victory.
BANTER_NEW_HIRE_05,嘿嘿 我的挂机摸鱼游戏已经准备好了,"Heheh, my idle/slacker game is already up and running."
BANTER_NEW_HIRE_06,掏香蕉的钱就只能请到猴子……,"If you pay peanuts, you get monkeys."
BANTER_NEW_HIRE_07,工资只够我打卡，干活是另外的价钱,"My salary only covers my attendance; anything beyond that costs extra."
BANTER_SEATED_1,今晚别想下班了,Say goodbye to clocking out tonight.
BANTER_SEATED_2,天哪，那位又派活了？,"Oh no, did THAT one assign work again?"
BANTER_SEATED_3,"11,111","11,111"
BANTER_SEATED_4,工位的余温还没散呢……,The seat's still warm from the last poor soul…
BANTER_SEATED_5,我祖传的摸鱼绝活，启动！,Time to activate my ancestral slacking techniques!
BANTER_SEATED_6,领导说干完这个项目就给我们放假了,"The boss says we will be promoted after this project."
BANTER_SEATED_7,今天的咖啡涨价了，喝不起了。,I can't afford the coffee anymore.
BANTER_DRAG_BACK_1,我厕所才上到一半……,I was only halfway through my bathroom break…
BANTER_DRAG_BACK_2,水都还没接呢就被拽回来了。,Hauled back before I even refilled my water.
BANTER_DRAG_BACK_3,我就起来活动下颈椎而已！,"I was just stretching my neck, I swear!"
BANTER_DRAG_BACK_4,不是都快下班了吗？！,Isn't it almost time to clock out?!
BANTER_DRAG_BACK_5,哈哈！今晚睡这算了。,Haha! Guess I'm just sleeping here tonight.
BANTER_FIRED_1,享福去喽~,Off to enjoy the good life~
BANTER_FIRED_2,准备去一个更好的地方。,Off to a better place.
BANTER_FIRED_3,补偿只有 N+0.1？,Severance is only N+0.1?
BANTER_FIRED_4,我要向所有人避雷这家公司！,I'm warning everyone to steer clear of this company!
BANTER_FIRED_5,工贼同事们，再也不见！！,"Scab coworkers, goodbye forever!!"
BANTER_FIRED_6,回家考公去咯。,Heading home to cram for the civil service exam.
BANTER_FIRED_7,我还不到 35 岁啊！,I'm not even 35 yet!
BANTER_FIRED_8,或许这就是牛马的宿命……,Maybe this is just a workhorse's fate…
BANTER_FIRED_9,哈哈，我就知道迟早有这天。,"Ha, I knew this day would come sooner or later."
BANTER_FIRED_10,别急，等我吃完餐补。,"Hold on, let me finish my meal allowance first."
BANTER_TRAIN_START_1,一天天的又在这大搞形式主义,Another day of corporate box-ticking theater.
BANTER_TRAIN_START_2,培训完我的绩效还有救吗,"After this ""training"", is my KPI even salvageable?"
BANTER_TRAIN_START_3,还不如讲讲被开了怎么仲裁,Might as well teach us how to file for arbitration after a layoff.
BANTER_TRAIN_START_4,培训我有什么用，快进到蒸馏算了,Training me is pointless — just fast-forward to optimizing me out.
