id,zh,en
TUTORIAL_STEP_01_01,早上坏，欢迎来新写字楼、新办公室,Bad morning! Welcome to the new office
TUTORIAL_STEP_01_02,我知道早上上班的心情总是很艹蛋，因为我也是,"I know Monday mornings always feel like absolute garbage. Trust me, I feel the exact same way"
TUTORIAL_STEP_01_03,所以，新项目组的工作就全交给你了,Which is exactly why I'm handing over the entire new project team to you!
TUTORIAL_STEP_01_03_01,先给它取个名字吧！,First, give it a name!
TUTORIAL_STEP_01_03_02,{project_name}，一听就有活儿，好拉风投,"{project_name}, now that's a name that screams funding potential!"
TUTORIAL_STEP_01_04,什么？你说你不会管人？,"Wait, you don't know how to manage a program?"
TUTORIAL_STEP_01_05,嗯……给你offer的时候，我对你是有很高的期望的,"Well... I had extremely higher expectations for you when offered you the offer'"
TUTORIAL_STEP_01_06,再说了，现在AI什么的不是很好用吗？有事问AI去吧,"Besides, aren't AI tools all the rage now? Just go ask an AI"
TUTORIAL_STEP_01_07,好了，我这边的游轮慈善晚宴都要开始了,"Alright, my charity gala is about to start"
TUTORIAL_STEP_01_08,好好学，好好干 bye~,"Study hard, work hard. bye~"
TUTORIAL_STEP_01_09,绩效好的话一切都好说，bye~,Get those KPI numbers up and everything will work out. Bye~
,,
TUTORIAL_STEP_02_01,点击教程AI开始向上管理,Click the Tutorial AI to Managing-up
,,
TUTORIAL_STEP_03_01,深挖同事剩余价值，赋能您的向上管理,"Maximize peer surplus value, and empower your upward management."
TUTORIAL_STEP_03_02,KPI宝，您最贴心的工作管家！,"KPI Bao, your most thoughtful workplace assistant!"
TUTORIAL_STEP_03_03,作为一个项目进度为“新建文件夹”的项目组的唯一成员,As the sole member of a project team whose current progress is literally "New Folder"...
TUTORIAL_STEP_03_04,考虑到项目进度为“新建文件夹”，您肯定也不想一个人干活吧！首先，您需要一些同事,"Current progress is literally New Folder...I'm sure you don't want to do all the heavy lifting alone! First, you need some coworkers!"
,,
TUTORIAL_STEP_04_01,您随时可以使用项目组的电脑！,"You can use the team's PC anytime!"
TUTORIAL_STEP_04_02,打开电脑的招聘系统，查看项目组收到的简历,Open the Recruitment System on the PC to view job seeker's resumes.
,,
TUTORIAL_STEP_05_01,打开招聘面板，选择您的英雄,"Open the Recruitment System, select your heroes!"
,,
TUTORIAL_STEP_06_01,您可以拒绝或者同意雇佣这些求职者，雇佣他们需要消耗KPI,You can reject or approve these applicants. Hiring them costs KPI.
TUTORIAL_STEP_06_02,KPI就是工作成绩~向老板提要求的权利~您未来的小钱钱~,"KPI is your performance score — your leverage over the boss, and your future cash flow~"
TUTORIAL_STEP_06_03,这几位是其他部门内推过来的，物美价廉，先凑活用吧！,These folks were referred from other departments — decent value for the price. They'll do for now!
,,
TUTORIAL_STEP_07_01,点击同意将冰冷的简历变成温暖的人力资源,Click "Yes!" to turn a cold resume into a warm human resource.
,,
TUTORIAL_STEP_08_01,现在，三位已经是您的同事啦！,"Now, all three are officially your coworkers!"
TUTORIAL_STEP_08_02,让同事闲着……啊不，没有工位坐就太不礼貌了,"Leaving your coworkers idle... or rather, without a desk to sit at — how impolite!"
TUTORIAL_STEP_08_03,把同事拖拽到工位上，同事就会开始为项目组工作啦！,Drag your coworkers to their desks and they'll start working for the team!
,,
