id,zh,en,
TUTORIAL_PAGE_A_TITLE,A. 招聘系统,A. Recruitment System,
TUTORIAL_PAGE_A_DESC,点击桌上的招聘系统按钮，进入招聘界面。消耗 KPI 可以进行普通招募抽卡，获得新员工加入团队。,Click the Recruitment System button on the desk to access the recruitment interface. You can spend KPI to perform standard recruitment draws and acquire new employees to join your team.,
TUTORIAL_PAGE_B_TITLE,B. 员工等级,B. Employee Tiers,
TUTORIAL_PAGE_B_DESC,员工分为 R、SR、SSR 三个等级。等级越高，工作效率越强，产出也越丰厚。合理搭配团队，才能让 KPI 飞速增长。,"Employees are categorized into three tiers: R, SR, and SSR. The higher the tier, the greater the work efficiency and the more substantial the output. Strategically assembling your team is the key to driving rapid growth in your KPIs.",
TUTORIAL_PAGE_C_TITLE,C. 分配工位,C. Assign Workstations,
TUTORIAL_PAGE_C_DESC,招募到的员工会进入等待区。用鼠标左键将员工拖拽到办公桌上，他们就会立即开始为项目工作。,Recruited employees will enter the waiting area. Use the left mouse button to drag an employee onto a desk and they will immediately begin working on the project.,
TUTORIAL_PAGE_D_TITLE,D. 查看员工面板,D. Viewing the Employee Panel,
TUTORIAL_PAGE_D_DESC,在工作中的员工上右键点击，可以打开他们的个人面板，查看各项工作属性以及当前任务的进度条。,"Right-click on an employee who is currently working to open their personal panel, where you can view various work attributes as well as the progress bar for their current task.",
TUTORIAL_PAGE_E_TITLE,E. 摸鱼与打断,E. Slacking Off and Interruptions,
TUTORIAL_PAGE_E_DESC,工作期间，员工头顶偶尔会冒出摸鱼气泡，试图占用工作时间放松。发现后要立即用鼠标左键点击气泡将其打断，否则员工将停止工作。,"During work hours, ""slacking off"" bubbles will occasionally appear above employees' heads as they attempt to use work time to relax. Upon spotting one, you must immediately left-click the bubble with your mouse to interrupt it; otherwise, the employee will stop working.",
TUTORIAL_PAGE_F_TITLE,F. 员工仓库,F. Employee Repository,
TUTORIAL_PAGE_F_DESC,点击人力资源中心按钮，可以集中管理所有员工。在这里可以将员工撤回等待区重新分配，或直接解雇以优化团队结构。,"Click the Human Resources Center button to centrally manage all employees. From here, you can recall employees to the waiting area for reassignment, or dismiss them directly to optimize your team structure.",
TUTORIAL_PAGE_G_TITLE,G. 玩家升级,G. Player Leveling Up,
TUTORIAL_PAGE_G_DESC,当积累的 KPI 达到一定量后，升级按钮将会解锁。点击后提升你的职级，掌握更多资源与管理权限。,"Once your accumulated KPIs reach a certain threshold, the Upgrade button will unlock. Click it to advance your rank and gain access to additional resources and management privileges.",
TUTORIAL_PAGE_H_TITLE,H. 办公室改造,H. Office Renovation,
TUTORIAL_PAGE_H_DESC,升级后，闲置的空房间可以改造为不同的功能区，为团队提供不同的支持。职级越高，可解锁的空房间数量也越多。,"Following the upgrade, previously vacant rooms can be repurposed into various functional areas to provide diverse support for the team. The higher your rank, the greater the number of vacant rooms you can unlock.",
TUTORIAL_PAGE_I_TITLE,I. KPI 与美金,I. KPI and USD,
TUTORIAL_PAGE_I_DESC,KPI 是主要货币，员工完成工作后自动产出，用于招募员工与解锁升级。,KPI serves as the primary currency; it is automatically generated upon the completion of work by employees and is used to recruit staff and unlock upgrades.,
,,,
EXPLAIN_EMPLOYEE_STATUS_1,没在项目组,Not In Program,
EXPLAIN_EMPLOYEE_STATUS_2,已分配工位,On Seat,
EXPLAIN_EMPLOYEE_STATUS_3,在等候区,Waiting For Seats,
,,,
OFFICE_PANTRY_TIP_1,功能介绍：打工人的快乐老家！员工在开始工作时，有概率偷溜去茶水间获得"零食增益"（奶茶加效率、蛋糕加质量、烤肠加经验），本次产出期间持续有效。,"Function: A little slice of heaven for the overworked! When employees start a job, they have a chance to sneak off to the pantry and grab a snack buff (milk tea boosts efficiency, cake boosts quality, grilled sausage boosts XP). The buff lasts for the duration of that work cycle.",
OFFICE_PANTRY_TIP_2,使用方法：建成后全自动生效。茶水间数量越多，能同时享受到零食 Buff 的员工就越多！,"How to use: Fully automatic once built. The more pantries you have, the more employees can enjoy snack buffs at the same time!"
OFFICE_HEADHUNT_TIP_1,功能介绍：头脑风暴时间！用暂时的效率下降（工作效率 -1），换取产出质量与经验的随机暴击（+1~3）。,Function: Brainstorming time! Trade a temporary efficiency hit (Work Efficiency -1) for a random critical boost to output quality and XP (+1~3).,
OFFICE_HEADHUNT_TIP_2,使用方法：把员工从工位【拖拽】进会议室即可开会（容纳人数受玩家等级影响）。鼠标悬停在会议室上可随时【解散会议】。,How to use: [Drag] an employee from their desk into the meeting room to start a meeting (capacity depends on your player level). Hover over the meeting room to [Dismiss] the meeting at any time.,
OFFICE_MEETING_TIP_1,功能介绍：公司的 HR 基地，扩充牛马军团的必经之路。建成后，将解锁右侧菜单栏的"猎头招聘"高级功能。,"Function: The company's HR headquarters — the essential path to expanding your workforce. Once built, it unlocks the advanced ""Headhunting"" feature in the right sidebar.",
OFFICE_MEETING_TIP_2,使用方法：建好后去右侧菜单花钱搜罗简历。如果猎头还在路上你就把这间房拆了，招聘进度会立刻中断，但钱会全额退还给你。,"How to use: Once built, head to the right sidebar and spend money to hunt for resumes. If you demolish this room while a headhunter is still on the way, the recruitment process will be immediately cancelled — but you'll get a full refund.",
OFFICE_CULTURE_TIP_1,功能介绍：掌控公司大格局的战略中心。可颁布不同的企业文化政策，为全场所有打工人提供强力的全局 Buff。,Function: The strategic nerve center for shaping your company's big picture. Enact different corporate culture policies to provide powerful global buffs to every employee on the floor.,
OFFICE_CULTURE_TIP_2,使用方法：建成后自动激活基础政策。你可以随时点击或悬停在这间办公室上，在三种政策（末位淘汰/项目奖金/绩效考核）中自由切换。,How to use: Automatically activates a default policy once built. Click or hover over this office at any time to freely switch between three policies (Last Place Elimination / Project Bonus / Performance Review).,
OFFICE_UNLOCK_REQUIREMENT,解锁需要：职级,Unlock Requires: Lv
